user_id,image_paths,user_claim,claim_object,evidence_standard_met,evidence_standard_met_reason,risk_flags,issue_type,object_part,claim_status,claim_status_justification,supporting_image_ids,valid_image,severity
user_011,images/sample/case_011/img_1.jpg,"Customer: I spilled water near my laptop while working. | Support: What part was affected? | Customer: It went over the keys and left a stain. Some keys feel sticky now. | Support: Is the display damaged too? | Customer: No, this is about the keyboard area only.",laptop,True,The claimed object and part are visible with sufficient image quality,manual_review_required,water_damage,keyboard,supported,Numerous water droplets and small puddles are visible across the black keyboard keys and the adjacent laptop surface.,img_1,True,medium
user_012,images/sample/case_012/img_1.jpg;images/sample/case_012/img_2.jpg,"Customer: My laptop bag fell from a chair and hit the floor. | Support: What damage did you notice? | Customer: One corner of the laptop has a dent now. | Support: Does the laptop still work? | Customer: It works, but the outer corner is damaged. I added two photos.",laptop,True,The claimed object and part are visible with sufficient image quality,wrong_angle;wrong_object;low_light_or_glare;user_history_risk,unknown,unknown,not_enough_information,The submitted images do not provide evidence for the claimed damage,none,True,unknown
user_018,images/sample/case_013/img_1.jpg,"Customer: I am not sure if this should be a repair claim or a replacement claim, so I wanted to ask first. | Support: We can help. What device is this about? | Customer: It is my laptop. I carry it every day, and yesterday my bag got pressed between two seats during travel. At first I thought the laptop was okay because it still opened. | Support: What changed after that? | Customer: Later, while using it, I noticed marks on the display area. I restarted it twice because I thought it might just be something on the screen, but it still bothered me. | Support: Are you reporting keyboard, hinge, body, or screen damage? | Customer: Not the keyboard or hinge. The issue I want checked is the screen. It looks shattered to me, so I am submitting this as screen damage.",laptop,True,The claimed object and part are visible with sufficient image quality,user_history_risk,crack,screen,supported,"The laptop screen shows a prominent impact point with spiderweb cracks in the center-right area, and several long cracks extending across the display.",img_1,True,medium
user_020,images/sample/case_014/img_1.jpg,Customer: The laptop trackpad has stopped working properly. | Support: Did anything happen before it stopped working? | Customer: The front area hit the desk edge when I moved it. | Support: Are you reporting internal function or physical damage? | Customer: Physical damage around the trackpad area. I attached the photo for review.,laptop,True,The claimed object and part are visible with sufficient image quality,cropped_or_obstructed;user_history_risk;manual_review_required,scratch,body,supported,"A faint, thin scratch is visible on the laptop's body, below the trackpad, near the front edge.",img_1,True,low
user_015,images/sample/case_015/img_1.jpg,Customer: My delivery box arrived damaged. | Support: What part of the package was affected? | Customer: One corner was crushed in when I received it. | Support: Is the item inside part of this claim? | Customer: Not right now. I am reporting the package corner damage.,package,True,The claimed object and part are visible with sufficient image quality,none,crushed_packaging,package_corner,supported,"The top-front corner of the cardboard box is visibly crushed and creased, with the cardboard layers slightly separated and the plastic wrapping torn.",img_1,True,medium
user_030,images/sample/case_016/img_1.jpg;images/sample/case_016/img_2.jpg,"Customer: Package receive hua toh opened jaisa lag raha tha. | Support: Tape broken tha ya box crush hua tha? | Customer: Seal wali side phati hui thi, jaise parcel khola gaya ho. | Support: Kya andar ka item missing hai? | Customer: Abhi item missing claim nahi kar raha, sirf torn packaging review karwana hai.",package,True,The claimed object and part are visible with sufficient image quality,wrong_object;user_history_risk,unknown,unknown,not_enough_information,The submitted images do not provide evidence for the claimed damage,none,True,unknown
user_031,images/sample/case_017/img_1.jpg,"Customer: I received a package that looks water damaged. | Support: Was the item inside wet too? | Customer: I have not opened everything yet, but the outside has a wet-looking stain. | Support: So the claim is about the package condition? | Customer: Yes, the package surface looked damaged when it arrived.",package,True,The claimed object and part are visible with sufficient image quality,user_history_risk;manual_review_required,water_damage,package_side,supported,"A large, dark, wet-looking stain covers a significant portion of the package side, causing discoloration and visible softening of the cardboard.",img_1,True,medium
user_032,images/sample/case_018/img_1.jpg;images/sample/case_018/img_2.jpg,Customer: The item I ordered was not inside the box. | Support: Did the package look opened when you received it? | Customer: I checked it after delivery and could not find the product inside. | Support: What are you asking us to verify? | Customer: Please verify that the contents are missing from the package.,package,True,The claimed object and part are visible with sufficient image quality,manual_review_required,unknown,contents,not_enough_information,The submitted images do not contain enough information to verify the claim,none,True,unknown
user_033,images/sample/case_019/img_1.jpg,Customer: The shipping box arrived in bad condition. | Support: What kind of condition issue are you reporting? | Customer: It looked badly crushed when it was delivered. | Support: Is the claim about the outside box or the product inside? | Customer: The outside box. I want the crushed box reviewed.,package,False,No images show the claimed object type,wrong_object;user_history_risk;manual_review_required,unknown,box,not_enough_information,The submitted images do not provide evidence for the claimed damage,none,False,unknown
user_034,images/sample/case_020/img_1.jpg;images/sample/case_020/img_2.jpg,Customer: My delivery box arrived opened. | Support: Was the package crushed or was the seal affected? | Customer: The seal area looked torn when I received it. | Support: Are you asking us to review the package condition or the item inside? | Customer: The package condition. I want the torn-open package reviewed.,package,True,The claimed object and part are visible with sufficient image quality,wrong_object;user_history_risk;manual_review_required,torn_packaging,seal,supported,"The tamper-evident seal tape is torn and peeled back, revealing a tear in the cardboard box underneath.",img_1,True,medium
